Date/Time,Stars,Review
2023-08-30,5,"Safe and easy
Quick, safe and easy to get my contraceptive pills, I’ve just started, let see how I go for my renovation"
2023-08-27,5,"So convenient
The whole process was fast and convenient. The doctor I spoke too was very friendly and I had my new script in less then half an hour on a Sunday"
2023-08-25,5,"An amazing service
Such an amazingly easy service and definitely well worth the ease especially when needing a med urgently. Would recommend 100%"
2023-08-24,5,"Great service very helpful and easy to use
Great service as I had to get medical certificate for work as I wasn't well and was very helpful and great to use. Would highly recommend."
2023-08-23,5,"Efficient service
I find it difficult to get in to see my doctor these days and being able to use this online service for a work certificate is such a relief"
2023-08-23,5,"Easy to use website, and Phenomenal customer service!
You can opt for the medication to be shipped to you or get an e-script, I also like the fact that Youly is very ""female friendly "" in terms of helping with women's problems. Easy to use website and the cost, well it makes up for the convenience of the mail order or e-scripts or medical certificates or various other things Youly offers."
2023-08-22,5,"Makes life easier
I was able to renew a prescription and get the pill deliverer to my door within 48 hours! Saved me a huge time burden arranging appointments with doctors, getting the script, getting the script filled. Also huge money saver! Would absolutely recommend to anyone who is busy and needs birth control in a hurry!"
2023-08-22,5,"fantastic!
easy,fast and door to door delivery which implies NO HASSLE at all."
2023-08-22,5,"Fantastic service and quick delivery
Customer service is fast and reliable, the GP calls are always pleasant and helpful. I highly recommend Youly and their service. I use them for prescription medication and they listen and understand your needs just like going to the GP but easier!"
2023-08-21,5,"Assist in weight loss
The practice nurse was amazing. Understood where I was coming from and where I wanted to get to. Thanks. Fingers crossed. Never used duromine but found alot of positives about it and outweigh the negative."
2023-07-15,5,I am amazed that this service existsThank goodness for Youly! Now I don’t need to go into a GP for contraceptives. So good. I ordered and it was delivered within a few days. Thank you!
2023-07-15,5,A Great Service!Youly is a game changer for me! I no longer need to waste time and money sitting in a doctor's office waiting just to get a new prescription. The assessment and ordering process is quick and easily done from the safety and comfort of home. Such a great service!
2023-07-15,4,Good serviceThe product arrived 3 days afterwards. Good product as recommended.
2023-07-13,5,"Youly is a game changer! Cannot recommend this enough!Cannot recommend Youly highly enough, so easy to use, great communication and super fast action and delivery. It is slightly more expensive than getting your prescription filled at a chemist but given that you don’t need to spend time waiting at a GP, waiting at the chemist and it gets delivered straight to your door it’s well worth it, would never get my contraception pill any other way after using Youly!
If you’re dubious about Youly or have any doubts give it a go you will not be disappointed!"
2023-07-12,5,"Easy and convenient at a good priceYouly is easy to use and reasonably priced, much cheaper than competitors who supply the same product. Delivery is express and reliable. Highly recommend."
2023-07-10,5,"The easiest way I’ve ever got the pillThis is the best healthcare service for women I’ve come across. I almost went to the doctors for $140 dollars just for a consultation, until I discovered Youly. I was able to get an online consultation for $25 (with a refund option if they couldn’t help), and then there were different pricing options for the pill. It was super easy, I didn’t have to spend a ridiculous amount of money, didn’t have to speak to anyone, and I’d definitely recommend."
2023-07-09,3,Pricey but convenientPricey but convenient. It arrives pretty quickly. Good if you forget to get your prescriptions renewed.
2023-07-07,3,"The repeat factor is great. But zero customer serviceI sent a message in March, I still haven’t had a response. Just some automatic message telling me someone will contact me soon. Considering my message was relating to side effects of the pill. That’s really terrible, especially because I have have followed up and only received an automatic response."
2023-07-04,5,"Great website and service!Looking for medical advice or prescriptions in an easy fashion, this is a wonderful platform. Timely responses to inquires, questions, and concerns. Clear instructions and details of what or why something has been suggested or prescribed. Friendly staff to top it off."
2023-07-01,5,Great at helpingI was having not the best side effects and they were more than happy to change the medication to one that works better for me
2023-06-27,5,Birth control pillsYouly is one of the best Productions that I have found I recommend to the women or men out there if you want medication or anything that you need this is the place to come to becomes delivered on time.
2023-06-26,5,So convenient!!Very convenient when you can’t get into a doctor or don’t feel comfortable talking face to face. Bonus discreet packaging. Very professional and helpful
2023-06-26,5,"the bestThe response from the doctor and nurse was very fast, also the delivery service was very fast and safe."
2023-06-23,5,"Super fast response and delivery-blown away with how great the service is!!I’m so impressed with this service, from initial consultation, to response and delivery. Absolutely amazing, discreet and easy to use. I’ll definitely recommend to anyone and will use again!"
2023-06-22,5,Love the convenience and serviceAmazing service and customer care definitely will keep doing my prescription through Youly.
2023-05-31,5,"Easy, professional and fast delivery!
Wish I found this sooner, very happy with this service and will be doing again!"
2023-05-30,5,"Professional, timely and convenient!
This service was professional with great communication throughout the process and everything was so effortless!"
2023-05-30,5,"Absoloutely perfect
Was so easy to do and I didn’t have to leave my couch!"
2023-05-29,1,"SCAM RIP OFF
Take payment without providing a service. State will respond to communication within 24/48 hours which they do not do. State a Doctor will call you if need to discuss any concerns which doesn't happen. Ignore you when you try to communicate with them."
2023-05-29,5,"Fast and hassle free
Easy to use and had my product within days. Will definitely use this team for the future. Thank you"
2023-05-29,5,"The single most useful invention of the past decade
Thank you for existing Youly - you are literally the single most useful invention of the past decade. The fact that I don't even need to leave my house to visit a doctor or get a script filled is absolutely genius. Keep on making amazing things - you guys are the best!"
2023-05-28,5,"So convenient!
Love this service - save me so much time and hassle of going to the GP! Always get my pills before I run out of it. Highly recommend!"
2023-05-24,5,"Easy scripts
Fast & reliable. Easy to use. Will definitely be using again"
2023-05-22,5,"Amazing service love it
Such a great and needed service. Doctors are friendly and punctual. Very happy :)"
2023-05-17,3,"Convenient but beware of future auto orders
The disclosure of how this works and all the fees you pay upfront was not disclosed to me upfront. I also was not aware that the script I ordered initially will reoccur automatically after a short time. It did not give me any warning that it would automatically debit my account again and give me the option to cancel this if not needed."
2023-05-05,1,"Pathetic services - just took the money!
No one to talk to about the delay in the order
No updates provided and still chasing my order after 15 days!"
2023-05-02,5,"Very helpful
I love it, it 's very handy to manage scripts that need to be renewed regularly without having to go physically to see a doctor. Made my life easier!"
2023-05-01,5,"This is great, I don't have to drag the kids along to an appt for my regular pill
Easy to use, replies with 24-48 hours for queries. Not too expensive, everything is sent express."
2023-05-01,5,"Can’t live without it
There services have been Life changing ! Can’t live without it"
2023-05-01,5,"The best! So easy and convenient ✨
Easy from sign up, to products on my door step. No more doctor visits just for scripts or trying to make a chemist before or after work. Couldn't recommend more!"
2023-03-18,5,"Doctors online in minutes best everGreat service fast response. Friendly team members
Thank you for relieving my anxiety and stress in a few minutes during a consultation all over the phone
Best ever !!"
2023-03-15,5,So easy!This was so easy and the cost was no more than the usual cost of a doctors appointment. Script was approved same day and arrived a couple of days later. Will definitely use again. Show reply
2023-03-14,5,"Just amazingThis was perfect, fast and easy
And delivered in days. Saved me so much time and hassle Show reply"
2023-03-14,5,Amazing Service!Youly has been an absolute game changer for me. It's been really empowering to be able to receive my treatment at home. I have a lifelong condition and Youly really takes the pressure off in managing my condition. Thank you Youly! Show reply
2023-03-14,5,So easy and fastApproval from the pharmacist and thr delivery to my house was so quick and easy Show reply
2023-03-14,1,"Ignored what I requested, ended up paying for tablets I can not takePrescribe and delivered tablets I am unable to take. Ignored my information."
2023-03-13,5,Super ConvenientTakes the stress out of doctors appointments just to get a script and super Convenient! Show reply
2023-03-12,5,"A great service for my busy life!I was unsure signing up for Youly as I've never used a service like this, but I was pleasantly surprised. The sign up process was quick and easy, the cost was less than going to a doctor for just a script, and it meant I didn't have the month wait to see a GP, and the shipping was super fast. I'd highly recommend Youly to anyone looking for an easy quick way to get their pill. It's taken a huge weight of my mind knowing I don't have to fit in drs visits around my insane work schedule. Show reply"
2023-03-11,5,Easy to access and fast shippingSaved myself a lot of time and expense by not having to wait a week to see my local GP for a minor issue. Easy to navigate the site and fast shipping. 100% would use again! Show reply
2023-03-11,5,ConvenientVery easy to use fast delivery great service highly recommend. Show reply
2023-03-08,3,"Convenient but expensiveI like the convenience of having it delivered (and delivery was very fast/efficient). Really good if you need a prescription but can’t wait weeks for a doc appointment.
But it’s expensive, the price for my contraceptive pill was over double the price advertised at local pharmacies. I don’t know why the price is inflated so much? Even when it says “free shipping”"
2023-03-04,5,"So easy, whoever thought of this is a geniusBrilliant idea, simple cheap and easy to get the prescription and the birth control send straight to my door so I don’t have to think about it - why should I have to pay to go to the doctor for a prescription I’ve been on for years? Show reply"
2023-03-02,5,What a differencesBEST SERVICE EVER! What a difference it makes not needing to go into the GP to get my pill! I have used Youly for over a year now and I won't be going anywhere else! Thank you Show reply
2023-03-01,5,"ConsultVery helpful and accurate, I feel so much comfortable with this service Show reply"
2023-02-28,5,Don’t know why I didn’t do it soonerThe process is so easy and efficient. Instead of taking time off work and waiting 2 weeks to see my doctor for a script I have been getting for years I ordered from Youly. Delivery was extremely fast. Best thing I did was to try Youly. Show reply
